             precision    recall     fbeta  accuracy
Some-college  0.759825  0.628159  0.687747  0.893603
HS-grad        0.81875   0.37971  0.518812  0.883453
Bachelors     0.770701  0.806667  0.788274  0.814815
Masters       0.827273  0.879227  0.852459  0.829268
Assoc-acdm    0.744681  0.744681  0.744681  0.878788
7th-8th            1.0       0.0       0.0  0.957447
11th               1.0  0.545455  0.705882  0.977778
Assoc-voc     0.722222  0.619048  0.666667  0.857143
Prof-school   0.840426  0.940476   0.88764  0.827586
9th                1.0  0.666667       0.8  0.991304
5th-6th            1.0       0.5  0.666667  0.967742
10th               1.0  0.416667  0.588235  0.961749
Doctorate     0.828125  0.929825  0.876033  0.805195
12th               1.0       0.4  0.571429  0.969388
1st-4th            1.0       1.0       1.0       1.0
Preschool          1.0       1.0       1.0       1.0
