                   precision    recall     fbeta  accuracy
United-States       0.790584  0.678746  0.730409  0.877513
Mexico                   1.0  0.333333       0.5  0.982456
Puerto-Rico              1.0       0.5  0.666667  0.863636
El-Salvador              1.0       1.0       1.0       1.0
?                   0.777778  0.677419  0.724138     0.872
Columbia                 1.0       1.0       1.0       1.0
Poland              0.666667       1.0       0.8  0.928571
Cambodia                 1.0       0.0       0.0  0.666667
Germany             0.846154  0.846154  0.846154     0.875
Philippines              1.0      0.75  0.857143  0.885714
Canada              0.857143      0.75       0.8  0.863636
Ecuador                  1.0       0.5  0.666667       0.8
Italy                    0.8       1.0  0.888889  0.928571
Cuba                     0.8       0.8       0.8  0.894737
Iran                     0.5       0.4  0.444444  0.583333
Jamaica                  0.0       1.0       0.0  0.923077
Haiti                    1.0       1.0       1.0       1.0
South               0.333333       0.5       0.4  0.769231
Taiwan                   0.8       1.0  0.888889  0.909091
Dominican-Republic       1.0       1.0       1.0       1.0
Ireland                  1.0       1.0       1.0       1.0
Japan                   0.75      0.75      0.75  0.818182
Scotland                 1.0       1.0       1.0       1.0
India               0.777778     0.875  0.823529  0.857143
Trinadad&Tobago          1.0       1.0       1.0       1.0
Hungary                  1.0       0.5  0.666667  0.666667
England                 0.75      0.75      0.75  0.857143
Laos                     1.0       0.0       0.0      0.75
Hong                     0.5       1.0  0.666667     0.875
Greece                   1.0       0.5  0.666667  0.857143
Portugal                 1.0       1.0       1.0       1.0
Guatemala                1.0       1.0       1.0       1.0
China               0.888889       1.0  0.941176  0.944444
France                   1.0       1.0       1.0       1.0
Nicaragua                1.0       1.0       1.0       1.0
Vietnam                  1.0       1.0       1.0       1.0
Thailand                 1.0       1.0       1.0       1.0
Peru                     0.0       0.0       0.0       0.6
Honduras                 1.0       1.0       1.0       1.0
Yugoslavia               1.0       1.0       1.0       1.0
